query_id,rank,document_id
Q002,1,78
Q002,2,66
Q002,3,38
Q003,1,4
Q004,1,91
Q006,1,65
Q006,2,69
Q006,3,36
Q006,4,44
Q006,5,31
Q007,1,62
Q007,2,78
Q007,3,32
Q007,4,66
Q007,5,31
